PID;DayCareType;Daycare_Name;Mailing_City;Mailing_State;Mailing_Address;Mailing_Zip;Telephone;URL;Capacity (optional);Age Range (optional);Match_Status;Match_Confidence;Matched_Provider_Name;Matched_Reason
2685450;Church/Synagogue;RICHLAND LEARNING CENTER;Johnstown;PA;1000 Scalp;15904;(814)262-0456;https://www.mt-calvarylutheran.org;School Age Provider;;not_found;45;THE LEARNING LAMP RICHLAND BEFORE/AFTER SCHOOL PRG;Candidate did not meet the balanced city-plus-name acceptance threshold.
2686131;Independent Center;WEST CHESTER AREA DAY CARE CTR;West Chester;PA;501 E;19382;(610)696-8447;https://wcadaycare.org;103;;exact_match;99;WEST CHESTER AREA YMCA;Candidate name closely matches the cleaned daycare name in the same city.
2692738;Independent Center;CORA SERVICES-EARLY YEARS;Philadelphia;PA;4446 N 15TH ST;19140;(215)455-6999;;6;;not_found;45;CHRIST LIKE SERVICES FAMILY CHILD CARE HOME;Candidate did not meet the balanced city-plus-name acceptance threshold.
2697166;Independent Center;MARTIN L KING DCC;Newport;RI;20 Dr;02840;(401)846-4828;http://www.mlkccenter.org;;;not_found;45;Dr. Martin Luther King, Jr. Community Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
2697489;Independent Center;EAST SIDE ELC;Providence;RI;345 Blackstone;02906;(401)272-3959;http://www.eastsideearlylearning.org;;;not_found;45;Eastside Early Learning Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
2700256;Church/Synagogue;BELIN CREATIVE LEARNING CENTER;Murrells Inlt;SC;4182 Hwy. 17 Business;29576;(843)651-2930;http://belinumc.org;114;0 months - 5 years;not_found;45;Belin Creative Learning;Candidate did not meet the balanced city-plus-name acceptance threshold.
2703935;Church/Synagogue;MIDLANDS CMTY DEVELOPMENT CORP;Columbia;SC;2401 Atlas;29209;(803)647-9111;http://www.midlandscdc.org;;;not_found;45;Midlands Community Development Corporation;Candidate did not meet the balanced city-plus-name acceptance threshold.
2708404;Church/Synagogue;CRIEVE HALL CH OF CHRIST KDGN;Nashville;TN;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2709264;Church/Synagogue;HARPETH HEIGHTS PRE-SCHOOL;Nashville;TN;8063 TN-100;37221;(615)646-6553;https://harpethheightschurch.com;;;not_found;45;Harpeth Heights Baptist Preschool;Candidate did not meet the balanced city-plus-name acceptance threshold.
2710885;Church/Synagogue;WEST END UNITED METH PRE-SCH;Nashville;TN;2200 West;37203;(615)321-8500;https://www.westendumc.org;;;not_found;45;West End United Methodist Preschool;Candidate did not meet the balanced city-plus-name acceptance threshold.
2711712;Independent Center;SEWANEE CHILDREN'S CENTER;Sewanee;TN;216 University;37375;(931)598-5928;http://sewaneechildrenscenter.org;;;not_found;45;Sewanee Children's Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
2712821;Church/Synagogue;GOOD SHEPHERD SCHOOL;Lookout Mtn;TN;211 Franklin;37350;(423)821-1583;http://gslookout.org;;;not_found;45;Church of the Good Shepherd;Candidate did not meet the balanced city-plus-name acceptance threshold.
2714154;Church/Synagogue;CHURCH OF CHRIST PRE-SCHOOL;Centerville;TN;138 N Central Ave;37033;;;79;12 mo - 4 year 11 mo;partial_match;99;Centerville Church of Christ Day School;City matched and the provider name partially overlaps with supporting address/contact evidence.
2714544;Independent Center;CEDAR BLUFF PLAYSCHOOL I;Knoxville;TN;1030 Old;37923;(865)693-6050;https://cedarbluffplayschool.com;;;not_found;45;Cedar Bluff Play School;Candidate did not meet the balanced city-plus-name acceptance threshold.
2719843;Church/Synagogue;FARMINGTON PRESBYTERIAN KDGN;Germantown;TN;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2721054;Independent Center;ROULHAC'S PRE-SCH & CHILD CR;Memphis;TN;390 S;38120;(901)683-1515;http://www.roulhacs.com;;;not_found;45;Roulhac's Preschool & Childcare;Candidate did not meet the balanced city-plus-name acceptance threshold.
2722280;Church/Synagogue;FIRST PRESBYTERIAN PRE-SCHOOL;Gallatin;TN;167 W;37066;(615)452-3151;http://www.fpcgallatin.org;;;not_found;45;First Presbyterian Church of Gallatin;Candidate did not meet the balanced city-plus-name acceptance threshold.
2722345;Church/Synagogue;HENDERSONVILLE BIBLE KDGN;Hendersonvlle;TN;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2723416;Church/Synagogue;BERRYS CHAPEL PRE-SCHOOL;Franklin;TN;1777 S Berrys Chapel Rd;37069;;;99;24 mo - 4 year 11 mo;exact_match;99;Berry's Chapel Preschool;Candidate name closely matches the cleaned daycare name in the same city.
2723428;Church/Synagogue;BRENTWOOD YOUNG CHILDRENS SCH;Brentwood;TN;7777 Concord Rd;37027;;;381;8 mo - 6 year;exact_match;99;Brentwood Young Children's School;Candidate name closely matches the cleaned daycare name in the same city.
2725842;Church/Synagogue;JEWISH COMMUNITY CENTER DCC;San Antonio;TX;12500 NW MILITARY HWY SAN ANTONIO TX- 78231 1897;78231;(210)302-6846;https://JCCSANANTONIO.ORG;325;0 months - 6 years;renamed_likely;99;Jewish Community Center Child Care;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
2726729;Church/Synagogue;ST DAVID'S EPISCOPAL SCHOOL;San Antonio;TX;1300 Wiltshire;78209;(210)824-2481;http://saintdavidschool.net;;;not_found;45;St Davids Episcopal School;Candidate did not meet the balanced city-plus-name acceptance threshold.
2726810;Church/Synagogue;ALAMO HGTS PRESBY CH DAY SCH;San Antonio;TX;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2730251;Church/Synagogue;FIRST PRESBYTERIAN CHILD CARE;Bryan;TX;1100 CARTER CREEK PKWY BRYAN TX- 77802 1129;77802;(979)779-6358;;140;0 months - 6 years;partial_match;99;First Presbyterian Childrens Center;City matched and the provider name partially overlaps with supporting address/contact evidence.
2733174;Church/Synagogue;GRACE PRESBYTERIAN LEARNING;Plano;TX;4300 W PARK BLVD PLANO TX- 75093 3710;75093;(972)867-9719;https://Graceds.org;164;0 months - 6 years;exact_match;99;Grace Presbyterian Day Care;Candidate name closely matches the cleaned daycare name in the same city.
2733966;Church/Synagogue;FIRST PROTESTANT SCHOOL;New Braunfels;TX;205 S CASTELL AVE NEW BRAUNFELS TX- 78130;78130;(830)606-4110;https://firstprotestantschool.com;251;0 months - 6 years;exact_match;99;First Protestant School;Candidate name closely matches the cleaned daycare name in the same city.
2740385;Church/Synagogue;WESLEYAN ACADEMY;Irving;TX;1615 W AIRPORT FWY IRVING TX- 75062 6119;75062;(972)252-4733;https://www.wesleyanacademe.org;125;15 months - 6 years;not_found;45;Wesleyan Academe;Candidate did not meet the balanced city-plus-name acceptance threshold.
2740529;Church/Synagogue;FIRST KIDS;Richardson;TX;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2741585;Independent Center;DENTON CITY COUNTY DAY SCHOOL;Denton;TX;1603 Paisley;76209;(940)382-6485;http://paisleystreet.org;;;not_found;45;Paisley Street Preschool formerly Denton City County Day School;Candidate did not meet the balanced city-plus-name acceptance threshold.
2743272;Church/Synagogue;TRINITY FIRST MOTHER'S DAY OUT;El Paso;TX;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2747890;Church/Synagogue;FIRST BAPTIST WEE LEARN CENTER;Longview;TX;209 E;75601;(903)758-0153;https://www.fbcl.org;;;not_found;45;Wee Learn Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
2749240;Church/Synagogue;CHAPELWOOD PRE-SCHOOL;Houston;TX;11140;77024;(713)465-4657;http://www.chapelwoodschool.org;382;0 months - 6 years;not_found;45;Chapelwood United Methodist SC;Candidate did not meet the balanced city-plus-name acceptance threshold.
2749329;Church/Synagogue;ST LUKE'S DAY SCHOOL;Houston;TX;3471 WESTHEIMER RD HOUSTON TX- 77027 5334;77027;(713)402-5030;https://www.stlukesdayschool.org;650;0 months - 6 years;partial_match;99;ST Lukes UMC Weekday Ministries;City matched and the provider name partially overlaps with supporting address/contact evidence.
2749836;Church/Synagogue;LAMB SCHOOL;Houston;TX;13000 JONES RD HOUSTON TX- 77070 4436;77070;(281)890-4879;https://www.themetchristianacademy.org/lamb-scho;200;0 months - 6 years;exact_match;99;Lamb School;Candidate name closely matches the cleaned daycare name in the same city.
2750213;Church/Synagogue;WESTBURY UNITED METH DAY CARE;Houston;TX;5200 Willowbend;77096;(713)723-0191;https://www.westburymethodistdayschool.org;;;not_found;45;Westbury Methodist Day School;Candidate did not meet the balanced city-plus-name acceptance threshold.
2753306;Church/Synagogue;ST JEROME EARLY CHILDHOOD CTR;Houston;TX;8825 KEMPWOOD DR HOUSTON TX- 77080 4101;77080;(713)461-0835;https://www.stjeromehou.org;153;0 months - 6 years;exact_match;99;St Jerome Early Childhood CTR;Candidate name closely matches the cleaned daycare name in the same city.
2756097;Independent Center;JB ADAMS SCHOOL;Houston;TX;4601 Hirsch;77026;(713)673-2928;https://jbadamsschool.com;;;not_found;45;J. B. Adams Infant, Toddler & Preschool;Candidate did not meet the balanced city-plus-name acceptance threshold.
2758071;Montessori;CLEAR LAKE MONTESSORI SCH;Houston;TX;2486 FALCON PASS DR HOUSTON TX- 77062 6237;77062;(281)486-4971;https://www.clearlakemontessori.com;144;0 months - 6 years;exact_match;99;Clear Lake Montessori School;Candidate name closely matches the cleaned daycare name in the same city.
2759245;Church/Synagogue;WEE WUNS WEEK DAY MINISTRIES;Cypress;TX;13403;77429;(281)469-2058;https://www.weewuns.org;;;not_found;45;Wee Wuns Pre-School;Candidate did not meet the balanced city-plus-name acceptance threshold.
2759879;College/University Based;TEXAS STATE UNIVERSITY CDC;San Marcos;TX;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2762280;Church/Synagogue;ST PAULS EPISCOPAL SCHOOL;Greenville;TX;8320 JACK FINNEY BLVD GREENVILLE TX- 75402 3004;75402;(903)455-8775;http://stpaulsepiscopalschool.com;120;0 months - 6 years;exact_match;99;St Pauls Episcopal Day Care Center;Candidate name closely matches the cleaned daycare name in the same city.
2762371;College/University Based;TEXAS A&M CHILDREN'S LRNG CTR;Commerce;TX;2601 Culver;75428;(903)886-5769;http://www.tamuc.edu;;;not_found;45;Children's Learning Center, Texas A&M University-Commerce;Candidate did not meet the balanced city-plus-name acceptance threshold.
2764666;Church/Synagogue;ST PETER'S EPISCOPAL SCHOOL;Kerrville;TX;321 St;78028;(830)257-0257;https://www.stpeterskerrville.com;;;not_found;45;St Peter's Episcopal School;Candidate did not meet the balanced city-plus-name acceptance threshold.
2766846;Church/Synagogue;COLUMBUS AVE BAPTIST CHURCH DC;Waco;TX;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2768064;Church/Synagogue;FIRST BAPTIST CHILD CENTER;Midland;TX;2104 W LOUISIANA AVE MIDLAND TX- 79701 5920;79701;(432)683-0638;https://www.fbc-midland.org;153;15 months - 6 years;partial_match;99;First Baptist Church Child Development;City matched and the provider name partially overlaps with supporting address/contact evidence.
2768337;Church/Synagogue;ST LUKES CHILD DEV PROGRAM;Midland;TX;3011 W KANSAS AVE MIDLAND TX- 79701 5524;79701;(432)694-2574;http://www.stlukesumcmidland.org;175;0 months - 6 years;expanded_match;99;ST Lukes Child Development Program;Candidate matched one of the ranked expanded search-name variants.
2771891;;MARY MILES NURSERY;Amarillo;TX;1700 S VAN BUREN ST AMARILLO TX- 79102 3034;79102;(806)345-1349;https://bevans@childrenslc.org;100;0 months - 6 years;renamed_likely;99;Mary Miles Learning Center;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
2772041;Independent Center;WATLEY LEARNING CENTER;Amarillo;TX;1208 NW;79107;(806)345-1333;https://www.toddly.app;;;not_found;45;Watley Learning Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
2772352;Church/Synagogue;CHRISTIAN LEARNING CENTER;Canyon;TX;1717 4th;79015;(806)655-3246;https://www.christianlearningcenter-canyon.com;130;0 months - 6 years;not_found;45;Christian Learning Center of FBC;Candidate did not meet the balanced city-plus-name acceptance threshold.
2774922;Church/Synagogue;LIGHTHOUSE CHRISTIAN ACADEMY;Fort Worth;TX;7200 ROBERTSON RD FORT WORTH TX- 76135 9457;76135;(817)237-7641;https://www.lcafw.org;170;15 months - 6 years;exact_match;99;Lighthouse Christian Academy;Candidate name closely matches the cleaned daycare name in the same city.
2775914;Church/Synagogue;FIRST UNITED METHODIST DAY SCH;Hurst;TX;521 W;76053;(817)282-7384;http://www.fumchurst.org;;;not_found;45;First United Methodist Church of Hurst;Candidate did not meet the balanced city-plus-name acceptance threshold.
2779001;Church/Synagogue;GRACE TEMPLE CHILD DEV CENTER;San Angelo;TX;202 ALEXANDER ST SAN ANGELO TX- 76901 2708;76901;(325)942-0576;https://www.gracetemplechildcare.com;123;15 months - 6 years;renamed_likely;99;Grace Temple Child Development;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
2784472;Church/Synagogue;SCHOOL FOR LITTLE PEOPLE;Wichita Falls;TX;909 10TH ST WICHITA FALLS TX- 76301 3411;76301;(940)766-0575;https://www.fumcwf.org;130;0 months - 6 years;exact_match;99;School For Little People;Candidate name closely matches the cleaned daycare name in the same city.
2785311;Church/Synagogue;HOPE PRESBY CHILDREN'S CENTER;Austin;TX;11512;78750;(512)258-0101;https://hopeaustin.org;;;not_found;45;Hope Children's Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
2787773;Independent Center;MIDDLEBURY CO-OP NURSERY SCH;Middlebury;VT;81 Water;05753;(802)388-7338;http://www.mjccvt.org;;;not_found;45;Middlebury Cooperative Nursery;Candidate did not meet the balanced city-plus-name acceptance threshold.
2792481;Church/Synagogue;SEVEN CORNERS CHILDRENS CTR;Falls Church;VA;6129 Willston Dr;22044;(703)532-4262;http://sevencornerschildrenscenter.org;75;24 mo - 4 year 11 mo;exact_match;99;Seven Corners Children's Center;Candidate name closely matches the cleaned daycare name in the same city.
2792780;;WINCHESTER DAY NURSERY;Winchester;VA;133 Lincoln Street;22601;(540)662-2629;http://winchesterdaypreschool.org;58;2 years - 6 years 11 months;partial_match;99;Winchester Day Nursery, Incorporated;City matched and the provider name partially overlaps with supporting address/contact evidence.
2793679;Other Chains;MINNIELAND ACADEMY-OCCOQUAN;Woodbridge;VA;1511 Old;22192;(540)530-4243;https://learningpathsacademy.com;;;not_found;45;Learning Paths Academy Occoquan;Candidate did not meet the balanced city-plus-name acceptance threshold.
2798382;Independent Center;NEWPORT CHILDREN'S SCHOOL;Bellevue;WA;12930;98006;(425)641-0824;https://www.newportschool.com;;;not_found;45;Newport Children's School;Candidate did not meet the balanced city-plus-name acceptance threshold.
2798899;Independent Center;COUNTRY VILLAGE DAY SCHOOL;Mercer Island;WA;9423 SE 36TH ST, MERCER ISLAND, WA, 98040;98040;(206)236-2417;http://www.countryvillagedayschool.org;119;1 month - 7 years 0 months;exact_match;99;COUNTRY VILLAGE DAY SCHOOL;Candidate name closely matches the cleaned daycare name in the same city.
2804228;YMCA/YWCA;YMCA DAY CARE CENTER;Huntington;WV;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2806824;Independent Center;CAMPUS FOR KIDS;Madison;WI;4905 E Buckeye Rd;53716;(608)221-1529;http://www.campusforkids.com;60;6 w - 13 year;exact_match;99;Campus For Kids Learning Center;Candidate name closely matches the cleaned daycare name in the same city.
2807971;Independent Center;PRESCHOOL OF THE ARTS;Madison;WI;11 Science;53711;(608)233-1707;http://www.preschoolofthearts.com;;;not_found;45;Preschool of the Arts Inc;Candidate did not meet the balanced city-plus-name acceptance threshold.
2809321;College/University Based;UW-EAU CLAIRE CHILDREN'S CTR;Eau Claire;WI;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2831659;Independent Center;KIDS & CRIBS DAY CARE;Fort Thomas;KY;1205 Alexandria Pike;41075;(859)441-5888;http://kidsandcribschildcare.com;93;6 w - 12 year;partial_match;99;Kids & Cribs Child Enrichment Center;City matched and the provider name partially overlaps with supporting address/contact evidence.
2833530;Church/Synagogue;ADATH JESHURUM PRE-SCHOOL;Louisville;KY;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2848066;Church/Synagogue;HOPE CHRISTIAN SCHOOL;Freehold;NJ;211 Elton Adelphia Road, Freehold, NJ, 07728;07728;(732)462-7545;;;2 1/2 - 13 years;exact_match;99;Hope Christian School;Candidate name closely matches the cleaned daycare name in the same city.
2848092;Church/Synagogue;EPIPHANEY WEEKDAY SCHOOL;Alexandria;VA;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2851439;Church/Synagogue;CHRIST MEMORIAL CHILD CARE CTR;Saint Louis;MO;5250 S;63126;(314)631-0992;http://www.cmchildcare.org;;;not_found;45;Christ Memorial Child Care Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
2852079;Montessori;FAIRBANKS MONTESSORI SCHOOL;Fairbanks;AK;2014 30th Ave;99701;(907)451-8485;http://www.fairbanksmontessori.org;92;0 mo - 6 year;exact_match;99;Fairbanks Montessori School;Candidate name closely matches the cleaned daycare name in the same city.
2852160;Church/Synagogue;CHRIST LUTHERAN PRE-SCHOOL;Lincoln;NE;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2852938;Church/Synagogue;HOPE CHRISTIAN PRE-SCHOOL;Rochester;NY;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2854699;Montessori;MONTESSORI SCHOOL-WOOSTER;Wooster;OH;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2863951;Church/Synagogue;HEARTS & MINDS EC PROGRAM;Omaha;NE;13056;68144;(402)333-3926;http://heartsandmindsomaha.com;;;not_found;45;Hearts & Minds Early Childhood Program;Candidate did not meet the balanced city-plus-name acceptance threshold.
2867983;Church/Synagogue;CRESTWOOD CHRISTIAN CHLD CARE;Lexington;KY;713 Glendover;40502;(859)266-8490;https://www.crestwoodchristian.org;;;not_found;45;Crestwood Childcare Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
2868298;Independent Center;EDUCATIONAL PLAYCARE-MANCHESTE;Manchester;CT;452 Tolland;06042;(860)580-5328;https://brightpathkids.com;;;not_found;45;BrightPath Manchester Child Care Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
2868808;YMCA/YWCA;YMCA PRE-SCH & SACC-MILFORD;Milford;CT;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2871362;Employer (Corporate) Sponsored;WOODBRIDGE CHILD CENTER;Woodbridge;CT;4 MEETINGHOUSE LN, WOODBRIDGE, CT, 06525-1520;06525-1520;(203)389-9118;https://www.charitynavigator.org;64;6 weeks - 5 years;exact_match;95;WOODBRIDGE CHILD CENTER;Candidate name closely matches the cleaned daycare name in the same city.
2872213;Independent Center;PB&J PRE-SCHOOL;Albuquerque;NM;1101 Lopez;87105;(505)877-7060;https://pbjfamilyservices.org;;;not_found;45;P B & J Family Services Inc;Candidate did not meet the balanced city-plus-name acceptance threshold.
2872380;Independent Center;GARCIA STREET CLUB;Santa Fe;NM;569 Garcia St;87505;(505)983-9512;http://www.garciastreetclub.com;80;;exact_match;99;Garcia Street Club;Candidate name closely matches the cleaned daycare name in the same city.
2874821;Montessori;UNITARIAN MONTESSORI SCHOOL;East Brunswick;NJ;176 Tices Ln;08816;(732)246-0606;http://www.unimont.org;60;18 mo - 6 year;exact_match;99;Unitarian Montessori School;Candidate name closely matches the cleaned daycare name in the same city.
2875526;Independent Center;SUMMER HILL SCHOOL;Wall;NJ;1107 Gully;07753;(732)681-3483;http://www.summerhillcamp.com;;;not_found;45;Summer Hill Camp;Candidate did not meet the balanced city-plus-name acceptance threshold.
2876506;Church/Synagogue;BECKETT CHRISTIAN PRE-SCHOOL;Logan;NJ;1566 Center;08085;(856)467-9252;http://www.amazingplacelearningcenter.com;;;not_found;45;Beckett Christian Preschool/Camp Amazing;Candidate did not meet the balanced city-plus-name acceptance threshold.
2876556;Other Chains;ARC OF BURLINGTON CO;Burlington;NJ;115 E;08016;(856)764-9494;http://www.arcofburlington.org;;;not_found;45;Arc of Burlington County, Inc.;Candidate did not meet the balanced city-plus-name acceptance threshold.
2876623;YMCA/YWCA;YMCA CHILD CARE CENTER;Mount Laurel;NJ;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2881678;Montessori;DUBUQUE MONTESSORI SCHOOL;Dubuque;IA;2605 Pennsylvania Ave;52001;(563)500-6254;http://dubuquemontessori.org;90;24 mo - 6 year;exact_match;99;Dubuque Montessori School;Candidate name closely matches the cleaned daycare name in the same city.
2884905;Church/Synagogue;ALDERSGATE UNITED METH PRE-SCH;Olathe;KS;15315;66062;(913)764-2407;http://aldersgatepreschoolks.com;;;not_found;45;Aldersgate Preschool Plus;Candidate did not meet the balanced city-plus-name acceptance threshold.
2886939;Employer (Corporate) Sponsored;LAKELAND LITTLE LEARNERS;Elkhorn;WI;240 Commerce Ct;53121;(262)723-8391;http://www.lakelandslittlelearners.com;155;0 mo - 13 year;renamed_likely;95;Lakeland's Little Learners;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
2887012;Church/Synagogue;SUNRISE PRE-SCHOOL;Colorado Springs;CO;2655 Briargate Blvd;80920;(719)594-9500;https://sunriseumc.org;305;;exact_match;92;Sunrise Preschool;Candidate name closely matches the cleaned daycare name in the same city.
2889060;Other Chains;ENCOMPASS EARLY ED-DE PERE CTR;De Pere;WI;2000 Lawrence Dr;54115;(920)336-1541;https://www.encompasswi.org;150;6 w - 12 year;renamed_likely;99;Encompass (De Pere Center);City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
2889395;Independent Center;WEE WISDOM NURSERY SCHOOL;Muncie;IN;315 N Morrison Rd;47304;(765)284-8605;http://www.weewisdomkids.com;;;exact_match;99;Wee Wisdom Nursery School And Child Care Center;Candidate name closely matches the cleaned daycare name in the same city.
2891506;Church/Synagogue;B'NAI ISRAEL NURSERY SCH 301;Rockville;MD;6301 Montrose Rd;20852;(301)881-6550;https://www.bnaiisraelcong.org;142;24 mo - 6 year;renamed_likely;99;B'nai Israel Schilit Nursery School;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
2908020;Church/Synagogue;SANTA ROSA CHRISTIAN LRNG CTR;Milton;FL;6331 Chestnut St;32570;(850)623-4671;http://santarosachristianschool.com;120;;renamed_likely;99;Santa Rosa Christian Learning Center;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
2909581;Montessori;WELLSVILLE MONTESSORI SCHOOL;Wellsville;NY;125 School Street;14895;(585)593-5541;https://www.wellsvillemontessori.org;59;;exact_match;99;Wellsville Montessori School;Candidate name closely matches the cleaned daycare name in the same city.
2910451;Church/Synagogue;CHRIST UMC CHILD CARE CENTER;Bethel Park;PA;44 Highland;15102;(412)854-4310;https://www.christumc.net;;;not_found;45;Christ Church Preschool;Candidate did not meet the balanced city-plus-name acceptance threshold.
2911651;Independent Center;PUMKIN PATCH DAY CARE CTR 1;Cleburne;TX;602 Euclid;76033;(817)558-8120;http://www.punkinpatchloveskids.com;;;not_found;45;Punkin Patch Daycare Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
2911716;Montessori;MONT SCHOOL OF CORPUS CHRISTI;Corp Christi;TX;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2916742;Church/Synagogue;GRIFFIN FIRST BAPTIST WKDY EDU;Griffin;GA;106 W;30223;(770)228-7880;https://fbcgriffin.org;;;not_found;45;First Baptist Weekday Education;Candidate did not meet the balanced city-plus-name acceptance threshold.
2919330;Independent Center;LENOX CHILDREN'S CENTER;Lenox;MA;9 Old;01240;(413)637-0321;http://www.lenoxchildrenscenter.org;;;not_found;45;Lenox Children's Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
2919689;Independent Center;SUNNYSIDE CHILD CARE-SMITH;Northampton;MA;28 Lyman;01063;(413)585-3290;http://www.smith.edu;;;not_found;45;Smith College Center for Early Childhood Education at Fort Hill;Candidate did not meet the balanced city-plus-name acceptance threshold.
2923733;Church/Synagogue;PLAZA PRESBY WEEKDAY SCHOOL;Charlotte;NC;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2925640;Montessori;GREENE TOWNE MONTE SCHOOL;Philadelphia;PA;55 N 22ND ST;19103;(215)563-6368;http://gtms.org;137;;renamed_likely;99;GREENE TOWNE SCHOOL INC;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
2931821;Montessori;SOLON MONT CREATIVE PLAYROOMS;Solon;OH;32800;44139;(440)248-3100;http://www.creativeplayrooms.com;;;not_found;45;Creative Playrooms - Solon;Candidate did not meet the balanced city-plus-name acceptance threshold.
2934550;Church/Synagogue;STAR KING PARENT CHLD WORKSHOP;Santa Barbara;CA;1525 1/2;93101;(805)966-1325;http://starrking-pcw.org;;;not_found;45;Starr King Parent-Child Workshop;Candidate did not meet the balanced city-plus-name acceptance threshold.
2939524;Church/Synagogue;FIRST UNITED METH PRE-SCHOOL;Smyrna;GA;1315 Concord;30080;(770)436-4108;http://www.smyrnafumc.org;;;not_found;45;Smyrna First United Methodist Church;Candidate did not meet the balanced city-plus-name acceptance threshold.
2940054;Independent Center;STEPPING STONES DAY CARE CTR;Lawrence;KS;1100 Wakarusa Dr;66049;(785)843-5919;http://steppingstones-childcare.org;113;1 mo - 10 year;exact_match;99;Stepping Stones;Candidate name closely matches the cleaned daycare name in the same city.
2940171;Church/Synagogue;CENTRAL CHRISTIAN CCC;Lexington;KY;105 Spruce St;40507;(859)253-2273;https://www.3cdclex.org;122;6 w - 4 year 11 mo;expanded_match;95;Central Christian Child Care Center;Candidate matched one of the ranked expanded search-name variants.
2940987;Independent Center;BROOKLINE INFANT & TODDLER CTR;Auburndale;MA;1900 Commonwealth;02466;(617)969-2699;http://www.bitcenter.org;;;not_found;45;Brookline Infant Toddler Center;Candidate did not meet the balanced city-plus-name acceptance threshold.
2952837;Other Chains;GIRL'S INCORPORATED DAY CARE;Nashua;NH;27 Burke Street Nashua;03060;(603)882-6256;https://girlsincnewhampshire.org;125;;partial_match;99;Girls Incorporated of New Hampshire ,opens link in a new tab ➞;City matched and the provider name partially overlaps with supporting address/contact evidence.
2953805;Independent Center;BANNER PRE-SCHOOL;Winnetka;IL;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2954380;YMCA/YWCA;MANCHESTER YMCA BEF/AFT CDC;Manchester;NH;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2957710;Independent Center;JCC CHILD DEVELOPMENT CTR;Omaha;NE;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2961759;Church/Synagogue;ALAMO HEIGHTS UMC WEEKDAY SCH;San Antonio;TX;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2970396;Church/Synagogue;MORNING STAR PRE DAY CARE CTR;Omaha;NE;;;;;;;not_found;0;;Skipped because this PID was previously recorded as a Google miss.
2972150;Independent Center;CATAWBA RIDGE CHILD DEV CENTER;Hickory;NC;1635 20TH AVENUE DRIVE N E HICKORY;28601;(828)327-2500;http://www.catawbaridgechildcare.com;199;0 years - 12 years;expanded_match;99;CATAWBA RIDGE CHILD DEVELOPMENT CENTER;Candidate matched one of the ranked expanded search-name variants.
2974342;Church/Synagogue;ST ANTHONY OF PADUA DC;Greenville;SC;311 Gower St;29611;(864)233-7717;https://www.stanthonysgvl.org;108;3 year - 12 year;expanded_match;99;St Anthony of Padua;Candidate matched one of the ranked expanded search-name variants.
2977643;Independent Center;RIVER FOREST CMTY DAY CARE CTR;River Forest;IL;1515 Lathrop Ave;60305;;;;4 year - 15 year;renamed_likely;95;Camp Galileo - Oak Park/River Forest;City matched and the official/source record appears renamed but still has strong overlapping identity tokens.
